附件,块长,组合法均值_um,组合法标准差_um,回归斜率_um,OLS_SE_um,MBB_SD_um,MBB_CI低,MBB_CI高,朴素CI低,朴素CI高,CI半宽比(MBB/朴素)
1,2,7.56422736903652,0.11339332784945994,7.563530016265137,0.024083262255978406,0.01722582899249251,7.532079210859355,7.598881320331207,7.516326822243419,7.610733210286854,0.7076015813794023
1,4,7.56422736903652,0.11339332784945994,7.563530016265137,0.024083262255978406,0.01860699197285613,7.528477705087807,7.600912539840231,7.516326822243419,7.610733210286854,0.7672662438806345
1,6,7.56422736903652,0.11339332784945994,7.563530016265137,0.024083262255978406,0.019021498300776072,7.528250929041614,7.600018661826789,7.516326822243419,7.610733210286854,0.7601999639278212
2,2,7.214500264963237,0.19999175806996455,7.2112771561238045,0.04230651924597478,0.028189578113552063,7.1553403311254336,7.264940397441037,7.128356378401694,7.294197933845915,0.6608721560891662
2,4,7.214500264963237,0.19999175806996455,7.2112771561238045,0.04230651924597478,0.022853369328452187,7.169356730978464,7.256436077753639,7.128356378401694,7.294197933845915,0.5250755550496706
2,6,7.214500264963237,0.19999175806996455,7.2112771561238045,0.04230651924597478,0.023336477605022044,7.164066425948091,7.252668864914434,7.128356378401694,7.294197933845915,0.5342595752253646
3,2,3.661090517356006,0.15715077449843734,3.6519448466289752,0.028654889403965666,0.02828123961718318,3.5975343974248757,3.7104894286604955,3.5957812633972024,3.708108429860748,1.0055896074996058
3,4,3.661090517356006,0.15715077449843734,3.6519448466289752,0.028654889403965666,0.025968164070466204,3.599848799406711,3.70134570728108,3.5957812633972024,3.708108429860748,0.9035829093695522
3,6,3.661090517356006,0.15715077449843734,3.6519448466289752,0.028654889403965666,0.02514937269307625,3.5947964814199023,3.6998884537500336,3.5957812633972024,3.708108429860748,0.9355882075440546
4,2,3.4128982396489143,0.1962169450486036,3.3982180271801417,0.03586982188267425,0.034892198523047945,3.3297478062396966,3.4674148490518046,3.3279131762901,3.4685228780701833,0.9790721484312819
4,4,3.4128982396489143,0.1962169450486036,3.3982180271801417,0.03586982188267425,0.03239526511090333,3.3356775896350084,3.461699629326774,3.3279131762901,3.4685228780701833,0.8962542278118686
4,6,3.4128982396489143,0.1962169450486036,3.3982180271801417,0.03586982188267425,0.03192319982375306,3.326053935387506,3.461179101043834,3.3279131762901,3.4685228780701833,0.9609946109384888
