附件,入射角,极值点数,回归厚度_um,回归SE_um,回归R2,回归残差SD_半级次,组合均值_um,组合标准差_um,两法差_um
1,10.0,14,7.563530016265137,0.024083262255978406,0.9998783505999008,0.024011819365050154,7.56422736903652,0.11339332784945994,-0.000697352771383386
2,15.0,14,7.2112771561238045,0.04230651924597478,0.9995871501544041,0.044235011555953586,7.214500264963237,0.19999175806996455,-0.0032231088394327756
3,10.0,13,3.6519448466289752,0.028654889403965666,0.9993232196870404,0.05290944600289203,3.661090517356006,0.15715077449843734,-0.009145670727030986
4,15.0,13,3.3982180271801417,0.03586982188267425,0.9987759005544046,0.0711570125430629,3.4128982396489143,0.1962169450486036,-0.014680212468772602
