附件,入射角,口径,组合数,厚度均值_um,标准差_um,判定_500_1500最大比值,判定_峰值比值波数,500_1500原始峰谷差_%,500_1500包络峰谷差_%,理论光谱RMSE_%
附件3,10°,双光束/峰+谷,66,3.5309555818658303,0.04527749570320049,2.6629013302453095,746.7987,70.833821842,68.12759178741281,0.18628879277409277
附件3,10°,双光束/仅波峰,21,3.5188445832511595,0.055720348927667196,2.6629013302453095,746.7987,70.833821842,68.12759178741281,0.18628879277409277
附件3,10°,多光束/峰+谷,66,3.661090517356006,0.15715077449843734,2.6629013302453095,746.7987,70.833821842,68.12759178741281,0.18628879277409277
附件3,10°,多光束/仅波峰,21,3.6772406278731724,0.20510822789425615,2.6629013302453095,746.7987,70.833821842,68.12759178741281,0.18628879277409277
附件4,15°,双光束/峰+谷,66,3.2617979667509256,0.05088467148330442,2.9726259430218893,751.6199,78.43170065700001,75.58927622456835,0.21752533475700495
附件4,15°,双光束/仅波峰,21,3.24424079913814,0.06130397812283666,2.9726259430218893,751.6199,78.43170065700001,75.58927622456835,0.21752533475700495
附件4,15°,多光束/峰+谷,66,3.4128982396489143,0.1962169450486036,2.9726259430218893,751.6199,78.43170065700001,75.58927622456835,0.21752533475700495
附件4,15°,多光束/仅波峰,21,3.429683363421488,0.2530648098155856,2.9726259430218893,751.6199,78.43170065700001,75.58927622456835,0.21752533475700495
